Lesson ID,CEFR Level,Major Domain,Scenario,English Lesson Title,Vietnamese Lesson Title,Primary Communication Goal,EN Word Target,Actual Bilingual A4 Page Target,Main Character,Secondary Character Rule,Status
0023,A0 / Pre-A1,Family,a family member's name,Recognising and responding to a family member's name,Giao tiếp nền tảng: family & relationships — a family member's name,recognise and respond to a family member's name; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Mr Henry (or another context-appropriate named Mr/Ms character),PLANNED
0024,A0 / Pre-A1,Food,choosing a drink,Recognising and responding to choosing a drink,Giao tiếp nền tảng: food & drink — choosing a drink,recognise and respond to choosing a drink; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Ms Anna (or another context-appropriate named Mr/Ms character),PLANNED
0025,A0 / Pre-A1,Shopping,a routine everyday need involving shopping & payments,Recognising and responding to a routine everyday need involving shopping & payments,Giao tiếp nền tảng: shopping & payments — a routine everyday need involving shopping & payments,recognise and respond to a routine everyday need involving shopping & payments; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Mr David (or another context-appropriate named Mr/Ms character),PLANNED
0026,A0 / Pre-A1,Clothing,a routine everyday need involving clothing & personal items,Recognising and responding to a routine everyday need involving clothing & personal items,Giao tiếp nền tảng: clothing & personal items — a routine everyday need involving clothing & personal items,recognise and respond to a routine everyday need involving clothing & personal items; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Ms Emma (or another context-appropriate named Mr/Ms character),PLANNED
0027,A0 / Pre-A1,Neighbourhood,a routine everyday need involving neighbourhood & directions,Recognising and responding to a routine everyday need involving neighbourhood & directions,Giao tiếp nền tảng: neighbourhood & directions — a routine everyday need involving neighbourhood & directions,recognise and respond to a routine everyday need involving neighbourhood & directions; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Mr James (or another context-appropriate named Mr/Ms character),PLANNED
0028,A0 / Pre-A1,Transport,a routine everyday need involving public transport,Recognising and responding to a routine everyday need involving public transport,Giao tiếp nền tảng: public transport — a routine everyday need involving public transport,recognise and respond to a routine everyday need involving public transport; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Ms Sarah (or another context-appropriate named Mr/Ms character),PLANNED
0029,A0 / Pre-A1,Transport,a routine everyday need involving taxi & ride services,Recognising and responding to a routine everyday need involving taxi & ride services,Giao tiếp nền tảng: taxi & ride services — a routine everyday need involving taxi & ride services,recognise and respond to a routine everyday need involving taxi & ride services; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Mr Daniel (or another context-appropriate named Mr/Ms character),PLANNED
0030,A0 / Pre-A1,Mobility,a routine everyday need involving walking & getting around,Recognising and responding to a routine everyday need involving walking & getting around,Giao tiếp nền tảng: walking & getting around — a routine everyday need involving walking & getting around,recognise and respond to a routine everyday need involving walking & getting around; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Ms Olivia (or another context-appropriate named Mr/Ms character),PLANNED
0031,A0 / Pre-A1,Weather,a routine everyday need involving weather & daily plans,Recognising and responding to a routine everyday need involving weather & daily plans,Giao tiếp nền tảng: weather & daily plans — a routine everyday need involving weather & daily plans,recognise and respond to a routine everyday need involving weather & daily plans; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Mr Thomas (or another context-appropriate named Mr/Ms character),PLANNED
0032,A0 / Pre-A1,Daily Life,a routine everyday need involving daily routines,Recognising and responding to a routine everyday need involving daily routines,Giao tiếp nền tảng: daily routines — a routine everyday need involving daily routines,recognise and respond to a routine everyday need involving daily routines; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Ms Sophie (or another context-appropriate named Mr/Ms character),PLANNED
0033,A0 / Pre-A1,Learning,a routine everyday need involving school & learning,Recognising and responding to a routine everyday need involving school & learning,Giao tiếp nền tảng: school & learning — a routine everyday need involving school & learning,recognise and respond to a routine everyday need involving school & learning; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Mr Michael (or another context-appropriate named Mr/Ms character),PLANNED
0034,A0 / Pre-A1,Work,a routine everyday need involving workplace everyday communication,Recognising and responding to a routine everyday need involving workplace everyday communication,Giao tiếp nền tảng: workplace everyday communication — a routine everyday need involving workplace everyday communication,recognise and respond to a routine everyday need involving workplace everyday communication; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Ms Grace (or another context-appropriate named Mr/Ms character),PLANNED
0035,A0 / Pre-A1,Communication,a routine everyday need involving phone calls,Recognising and responding to a routine everyday need involving phone calls,Giao tiếp nền tảng: phone calls — a routine everyday need involving phone calls,recognise and respond to a routine everyday need involving phone calls; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Mr Henry (or another context-appropriate named Mr/Ms character),PLANNED
0036,A0 / Pre-A1,Communication,a routine everyday need involving messages & everyday digital communication,Recognising and responding to a routine everyday need involving messages & everyday digital communication,Giao tiếp nền tảng: messages & everyday digital communication — a routine everyday need involving messages & everyday digital communication,recognise and respond to a routine everyday need involving messages & everyday digital communication; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Ms Anna (or another context-appropriate named Mr/Ms character),PLANNED
0037,A0 / Pre-A1,Personal Identity,where you are from,Recognising and responding to where you are from,Giao tiếp nền tảng: personal identity & introductions — where you are from,recognise and respond to where you are from; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Mr David (or another context-appropriate named Mr/Ms character),PLANNED
0038,A0 / Pre-A1,Social Basics,saying goodbye,Recognising and responding to saying goodbye,Giao tiếp nền tảng: greetings & basic social contact — saying goodbye,recognise and respond to saying goodbye; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Ms Emma (or another context-appropriate named Mr/Ms character),PLANNED
0039,A0 / Pre-A1,Numbers and Time,a price,Recognising and responding to a price,"Giao tiếp nền tảng: numbers, dates & time — a price",recognise and respond to a price; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Mr James (or another context-appropriate named Mr/Ms character),PLANNED
0040,A0 / Pre-A1,Home,where an object is,Recognising and responding to where an object is,Giao tiếp nền tảng: home & household — where an object is,recognise and respond to where an object is; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Ms Sarah (or another context-appropriate named Mr/Ms character),PLANNED
0041,A0 / Pre-A1,Family,how many people are in the family,Recognising and responding to how many people are in the family,Giao tiếp nền tảng: family & relationships — how many people are in the family,recognise and respond to how many people are in the family; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Mr Daniel (or another context-appropriate named Mr/Ms character),PLANNED
0042,A0 / Pre-A1,Food,choosing a simple food,Recognising and responding to choosing a simple food,Giao tiếp nền tảng: food & drink — choosing a simple food,recognise and respond to choosing a simple food; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Ms Olivia (or another context-appropriate named Mr/Ms character),PLANNED
0043,A0 / Pre-A1,Shopping,checking an important detail about shopping & payments,Recognising and responding to checking an important detail about shopping & payments,Giao tiếp nền tảng: shopping & payments — checking an important detail about shopping & payments,recognise and respond to checking an important detail about shopping & payments; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Mr Thomas (or another context-appropriate named Mr/Ms character),PLANNED
0044,A0 / Pre-A1,Clothing,checking an important detail about clothing & personal items,Recognising and responding to checking an important detail about clothing & personal items,Giao tiếp nền tảng: clothing & personal items — checking an important detail about clothing & personal items,recognise and respond to checking an important detail about clothing & personal items; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Ms Sophie (or another context-appropriate named Mr/Ms character),PLANNED
0045,A0 / Pre-A1,Neighbourhood,checking an important detail about neighbourhood & directions,Recognising and responding to checking an important detail about neighbourhood & directions,Giao tiếp nền tảng: neighbourhood & directions — checking an important detail about neighbourhood & directions,recognise and respond to checking an important detail about neighbourhood & directions; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Mr Michael (or another context-appropriate named Mr/Ms character),PLANNED
0046,A0 / Pre-A1,Transport,checking an important detail about public transport,Recognising and responding to checking an important detail about public transport,Giao tiếp nền tảng: public transport — checking an important detail about public transport,recognise and respond to checking an important detail about public transport; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Ms Grace (or another context-appropriate named Mr/Ms character),PLANNED
0047,A0 / Pre-A1,Transport,checking an important detail about taxi & ride services,Recognising and responding to checking an important detail about taxi & ride services,Giao tiếp nền tảng: taxi & ride services — checking an important detail about taxi & ride services,recognise and respond to checking an important detail about taxi & ride services; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Mr Henry (or another context-appropriate named Mr/Ms character),PLANNED
0048,A0 / Pre-A1,Mobility,checking an important detail about walking & getting around,Recognising and responding to checking an important detail about walking & getting around,Giao tiếp nền tảng: walking & getting around — checking an important detail about walking & getting around,recognise and respond to checking an important detail about walking & getting around; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Ms Anna (or another context-appropriate named Mr/Ms character),PLANNED
0049,A0 / Pre-A1,Weather,checking an important detail about weather & daily plans,Recognising and responding to checking an important detail about weather & daily plans,Giao tiếp nền tảng: weather & daily plans — checking an important detail about weather & daily plans,recognise and respond to checking an important detail about weather & daily plans; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Mr David (or another context-appropriate named Mr/Ms character),PLANNED
0050,A0 / Pre-A1,Daily Life,checking an important detail about daily routines,Recognising and responding to checking an important detail about daily routines,Giao tiếp nền tảng: daily routines — checking an important detail about daily routines,recognise and respond to checking an important detail about daily routines; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Ms Emma (or another context-appropriate named Mr/Ms character),PLANNED
0051,A0 / Pre-A1,Learning,checking an important detail about school & learning,Recognising and responding to checking an important detail about school & learning,Giao tiếp nền tảng: school & learning — checking an important detail about school & learning,recognise and respond to checking an important detail about school & learning; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Mr James (or another context-appropriate named Mr/Ms character),PLANNED
0052,A0 / Pre-A1,Work,checking an important detail about workplace everyday communication,Recognising and responding to checking an important detail about workplace everyday communication,Giao tiếp nền tảng: workplace everyday communication — checking an important detail about workplace everyday communication,recognise and respond to checking an important detail about workplace everyday communication; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Ms Sarah (or another context-appropriate named Mr/Ms character),PLANNED
0053,A0 / Pre-A1,Communication,checking an important detail about phone calls,Recognising and responding to checking an important detail about phone calls,Giao tiếp nền tảng: phone calls — checking an important detail about phone calls,recognise and respond to checking an important detail about phone calls; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Mr Daniel (or another context-appropriate named Mr/Ms character),PLANNED
0054,A0 / Pre-A1,Communication,checking an important detail about messages & everyday digital communication,Recognising and responding to checking an important detail about messages & everyday digital communication,Giao tiếp nền tảng: messages & everyday digital communication — checking an important detail about messages & everyday digital communication,recognise and respond to checking an important detail about messages & everyday digital communication; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Ms Olivia (or another context-appropriate named Mr/Ms character),PLANNED
0055,A0 / Pre-A1,Personal Identity,where you live,Recognising and responding to where you live,Giao tiếp nền tảng: personal identity & introductions — where you live,recognise and respond to where you live; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Mr Thomas (or another context-appropriate named Mr/Ms character),PLANNED
0056,A0 / Pre-A1,Social Basics,saying thank you,Recognising and responding to saying thank you,Giao tiếp nền tảng: greetings & basic social contact — saying thank you,recognise and respond to saying thank you; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Ms Sophie (or another context-appropriate named Mr/Ms character),PLANNED
0057,A0 / Pre-A1,Numbers and Time,today's date,Recognising and responding to today's date,"Giao tiếp nền tảng: numbers, dates & time — today's date",recognise and respond to today's date; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Mr Michael (or another context-appropriate named Mr/Ms character),PLANNED
0058,A0 / Pre-A1,Home,something you need at home,Recognising and responding to something you need at home,Giao tiếp nền tảng: home & household — something you need at home,recognise and respond to something you need at home; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Ms Grace (or another context-appropriate named Mr/Ms character),PLANNED
0059,A0 / Pre-A1,Family,a simple family relationship,Recognising and responding to a simple family relationship,Giao tiếp nền tảng: family & relationships — a simple family relationship,recognise and respond to a simple family relationship; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Mr Henry (or another context-appropriate named Mr/Ms character),PLANNED
0060,A0 / Pre-A1,Food,saying you are hungry or thirsty,Recognising and responding to saying you are hungry or thirsty,Giao tiếp nền tảng: food & drink — saying you are hungry or thirsty,recognise and respond to saying you are hungry or thirsty; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Ms Anna (or another context-appropriate named Mr/Ms character),PLANNED
0061,A0 / Pre-A1,Shopping,asking for help with shopping & payments,Recognising and responding to asking for help with shopping & payments,Giao tiếp nền tảng: shopping & payments — asking for help with shopping & payments,recognise and respond to asking for help with shopping & payments; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Mr David (or another context-appropriate named Mr/Ms character),PLANNED
0062,A0 / Pre-A1,Clothing,asking for help with clothing & personal items,Recognising and responding to asking for help with clothing & personal items,Giao tiếp nền tảng: clothing & personal items — asking for help with clothing & personal items,recognise and respond to asking for help with clothing & personal items; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Ms Emma (or another context-appropriate named Mr/Ms character),PLANNED
0063,A0 / Pre-A1,Neighbourhood,asking for help with neighbourhood & directions,Recognising and responding to asking for help with neighbourhood & directions,Giao tiếp nền tảng: neighbourhood & directions — asking for help with neighbourhood & directions,recognise and respond to asking for help with neighbourhood & directions; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Mr James (or another context-appropriate named Mr/Ms character),PLANNED
0064,A0 / Pre-A1,Transport,asking for help with public transport,Recognising and responding to asking for help with public transport,Giao tiếp nền tảng: public transport — asking for help with public transport,recognise and respond to asking for help with public transport; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Ms Sarah (or another context-appropriate named Mr/Ms character),PLANNED
0065,A0 / Pre-A1,Transport,asking for help with taxi & ride services,Recognising and responding to asking for help with taxi & ride services,Giao tiếp nền tảng: taxi & ride services — asking for help with taxi & ride services,recognise and respond to asking for help with taxi & ride services; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Mr Daniel (or another context-appropriate named Mr/Ms character),PLANNED
0066,A0 / Pre-A1,Mobility,asking for help with walking & getting around,Recognising and responding to asking for help with walking & getting around,Giao tiếp nền tảng: walking & getting around — asking for help with walking & getting around,recognise and respond to asking for help with walking & getting around; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Ms Olivia (or another context-appropriate named Mr/Ms character),PLANNED
0067,A0 / Pre-A1,Weather,asking for help with weather & daily plans,Recognising and responding to asking for help with weather & daily plans,Giao tiếp nền tảng: weather & daily plans — asking for help with weather & daily plans,recognise and respond to asking for help with weather & daily plans; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Mr Thomas (or another context-appropriate named Mr/Ms character),PLANNED
0068,A0 / Pre-A1,Daily Life,asking for help with daily routines,Recognising and responding to asking for help with daily routines,Giao tiếp nền tảng: daily routines — asking for help with daily routines,recognise and respond to asking for help with daily routines; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Ms Sophie (or another context-appropriate named Mr/Ms character),PLANNED
0069,A0 / Pre-A1,Learning,asking for help with school & learning,Recognising and responding to asking for help with school & learning,Giao tiếp nền tảng: school & learning — asking for help with school & learning,recognise and respond to asking for help with school & learning; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Mr Michael (or another context-appropriate named Mr/Ms character),PLANNED
0070,A0 / Pre-A1,Work,asking for help with workplace everyday communication,Recognising and responding to asking for help with workplace everyday communication,Giao tiếp nền tảng: workplace everyday communication — asking for help with workplace everyday communication,recognise and respond to asking for help with workplace everyday communication; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Ms Grace (or another context-appropriate named Mr/Ms character),PLANNED
0071,A0 / Pre-A1,Communication,asking for help with phone calls,Recognising and responding to asking for help with phone calls,Giao tiếp nền tảng: phone calls — asking for help with phone calls,recognise and respond to asking for help with phone calls; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Mr Henry (or another context-appropriate named Mr/Ms character),PLANNED
0072,A0 / Pre-A1,Communication,asking for help with messages & everyday digital communication,Recognising and responding to asking for help with messages & everyday digital communication,Giao tiếp nền tảng: messages & everyday digital communication — asking for help with messages & everyday digital communication,recognise and respond to asking for help with messages & everyday digital communication; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Ms Anna (or another context-appropriate named Mr/Ms character),PLANNED
0073,A0 / Pre-A1,Personal Identity,your age,Recognising and responding to your age,Giao tiếp nền tảng: personal identity & introductions — your age,recognise and respond to your age; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Mr David (or another context-appropriate named Mr/Ms character),PLANNED
0074,A0 / Pre-A1,Social Basics,saying sorry,Recognising and responding to saying sorry,Giao tiếp nền tảng: greetings & basic social contact — saying sorry,recognise and respond to saying sorry; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Ms Emma (or another context-appropriate named Mr/Ms character),PLANNED
0075,A0 / Pre-A1,Numbers and Time,the day of the week,Recognising and responding to the day of the week,"Giao tiếp nền tảng: numbers, dates & time — the day of the week",recognise and respond to the day of the week; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Mr James (or another context-appropriate named Mr/Ms character),PLANNED
0076,A0 / Pre-A1,Home,opening or closing something,Recognising and responding to opening or closing something,Giao tiếp nền tảng: home & household — opening or closing something,recognise and respond to opening or closing something; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Ms Sarah (or another context-appropriate named Mr/Ms character),PLANNED
0077,A0 / Pre-A1,Family,where a family member is,Recognising and responding to where a family member is,Giao tiếp nền tảng: family & relationships — where a family member is,recognise and respond to where a family member is; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Mr Daniel (or another context-appropriate named Mr/Ms character),PLANNED
0078,A0 / Pre-A1,Food,asking what something is,Recognising and responding to asking what something is,Giao tiếp nền tảng: food & drink — asking what something is,recognise and respond to asking what something is; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Ms Olivia (or another context-appropriate named Mr/Ms character),PLANNED
0079,A0 / Pre-A1,Shopping,a change or choice involving shopping & payments,Recognising and responding to a change or choice involving shopping & payments,Giao tiếp nền tảng: shopping & payments — a change or choice involving shopping & payments,recognise and respond to a change or choice involving shopping & payments; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Mr Thomas (or another context-appropriate named Mr/Ms character),PLANNED
0080,A0 / Pre-A1,Clothing,a change or choice involving clothing & personal items,Recognising and responding to a change or choice involving clothing & personal items,Giao tiếp nền tảng: clothing & personal items — a change or choice involving clothing & personal items,recognise and respond to a change or choice involving clothing & personal items; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Ms Sophie (or another context-appropriate named Mr/Ms character),PLANNED
0081,A0 / Pre-A1,Neighbourhood,a change or choice involving neighbourhood & directions,Recognising and responding to a change or choice involving neighbourhood & directions,Giao tiếp nền tảng: neighbourhood & directions — a change or choice involving neighbourhood & directions,recognise and respond to a change or choice involving neighbourhood & directions; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Mr Michael (or another context-appropriate named Mr/Ms character),PLANNED
0082,A0 / Pre-A1,Transport,a change or choice involving public transport,Recognising and responding to a change or choice involving public transport,Giao tiếp nền tảng: public transport — a change or choice involving public transport,recognise and respond to a change or choice involving public transport; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Ms Grace (or another context-appropriate named Mr/Ms character),PLANNED
