Video ID,Code,Module,English title,Vietnamese title,Level,Target duration,English words,Turns,Image file,Content status,QC
32,DGE0032,M04,Good morning,Chào buổi sáng,Pre-A1.1,210–240 sec,181,24,DGE_MODULE_M04_PORTRAIT_9X16.jpg,FINAL,PASS
33,DGE0033,M04,Good afternoon,Chào buổi chiều,Pre-A1.1,210–240 sec,181,24,DGE_MODULE_M04_PORTRAIT_9X16.jpg,FINAL,PASS
34,DGE0034,M04,Good evening,Chào buổi tối,Pre-A1.1,210–240 sec,181,24,DGE_MODULE_M04_PORTRAIT_9X16.jpg,FINAL,PASS
35,DGE0035,M04,Say hi to a friend,Chào một người bạn,Pre-A1.1,210–240 sec,185,26,DGE_MODULE_M04_PORTRAIT_9X16.jpg,FINAL,PASS
36,DGE0036,M04,Ask: How are you?,Hỏi: Bạn khỏe không?,Pre-A1.1,210–240 sec,194,22,DGE_MODULE_M04_PORTRAIT_9X16.jpg,FINAL,PASS
37,DGE0037,M04,"Reply: I’m fine, thanks","Đáp: Tôi khỏe, cảm ơn",Pre-A1.1,210–240 sec,194,22,DGE_MODULE_M04_PORTRAIT_9X16.jpg,FINAL,PASS
38,DGE0038,M04,Nice to see you,Rất vui được gặp bạn,Pre-A1.1,210–240 sec,190,20,DGE_MODULE_M04_PORTRAIT_9X16.jpg,FINAL,PASS
39,DGE0039,M04,Say goodbye,Nói lời tạm biệt,Pre-A1.1,210–240 sec,182,20,DGE_MODULE_M04_PORTRAIT_9X16.jpg,FINAL,PASS
40,DGE0040,M04,Greeting checkpoint,Ôn tập chào hỏi,Pre-A1.1,210–240 sec,198,20,DGE_MODULE_M04_PORTRAIT_9X16.jpg,FINAL,PASS
41,DGE0041,M05,Say yes clearly,Nói yes rõ ràng,Pre-A1.1,210–240 sec,190,22,DGE_MODULE_M05_PORTRAIT_9X16.jpg,FINAL,PASS
42,DGE0042,M05,Say no politely,Nói no lịch sự,Pre-A1.1,210–240 sec,190,22,DGE_MODULE_M05_PORTRAIT_9X16.jpg,FINAL,PASS
43,DGE0043,M05,"Yes, it is","Câu trả lời Yes, it is",Pre-A1.1,210–240 sec,176,18,DGE_MODULE_M05_PORTRAIT_9X16.jpg,FINAL,PASS
44,DGE0044,M05,"No, it isn’t","Câu trả lời No, it isn’t",Pre-A1.1,210–240 sec,176,18,DGE_MODULE_M05_PORTRAIT_9X16.jpg,FINAL,PASS
45,DGE0045,M05,"Yes, please","Nói Yes, please",Pre-A1.1,210–240 sec,181,24,DGE_MODULE_M05_PORTRAIT_9X16.jpg,FINAL,PASS
46,DGE0046,M05,"No, thank you","Nói No, thank you",Pre-A1.1,210–240 sec,190,22,DGE_MODULE_M05_PORTRAIT_9X16.jpg,FINAL,PASS
47,DGE0047,M05,Maybe and I don’t know,Maybe và I don’t know,Pre-A1.1,210–240 sec,194,20,DGE_MODULE_M05_PORTRAIT_9X16.jpg,FINAL,PASS
48,DGE0048,M05,Of course,Nói Of course,Pre-A1.1,210–240 sec,195,26,DGE_MODULE_M05_PORTRAIT_9X16.jpg,FINAL,PASS
49,DGE0049,M05,"Not now, thanks","Nói Not now, thanks",Pre-A1.1,210–240 sec,170,20,DGE_MODULE_M05_PORTRAIT_9X16.jpg,FINAL,PASS
50,DGE0050,M05,Short-answer checkpoint,Ôn tập câu trả lời ngắn,Pre-A1.1,210–240 sec,176,18,DGE_MODULE_M05_PORTRAIT_9X16.jpg,FINAL,PASS
51,DGE0051,M06,Please and thank you,Please và thank you,Pre-A1.1,210–240 sec,190,20,DGE_MODULE_M06_PORTRAIT_9X16.jpg,FINAL,PASS
52,DGE0052,M06,Excuse me,Nói Excuse me,Pre-A1.1,210–240 sec,168,22,DGE_MODULE_M06_PORTRAIT_9X16.jpg,FINAL,PASS
53,DGE0053,M06,I’m sorry,Nói I’m sorry,Pre-A1.1,210–240 sec,181,24,DGE_MODULE_M06_PORTRAIT_9X16.jpg,FINAL,PASS
54,DGE0054,M06,Can you help me?,Bạn có thể giúp tôi không?,Pre-A1.1,210–240 sec,184,18,DGE_MODULE_M06_PORTRAIT_9X16.jpg,FINAL,PASS
55,DGE0055,M06,Please say it again,Xin hãy nói lại,Pre-A1.1,210–240 sec,190,20,DGE_MODULE_M06_PORTRAIT_9X16.jpg,FINAL,PASS
56,DGE0056,M06,Please speak slowly,Xin hãy nói chậm,Pre-A1.1,210–240 sec,190,22,DGE_MODULE_M06_PORTRAIT_9X16.jpg,FINAL,PASS
57,DGE0057,M06,I don’t understand,Tôi không hiểu,Pre-A1.1,210–240 sec,205,24,DGE_MODULE_M06_PORTRAIT_9X16.jpg,FINAL,PASS
58,DGE0058,M06,What does this mean?,Cái này nghĩa là gì?,Pre-A1.1,210–240 sec,190,20,DGE_MODULE_M06_PORTRAIT_9X16.jpg,FINAL,PASS
59,DGE0059,M06,How do you say this in English?,Cái này tiếng Anh nói thế nào?,Pre-A1.1,210–240 sec,200,16,DGE_MODULE_M06_PORTRAIT_9X16.jpg,FINAL,PASS
60,DGE0060,M06,Survival-phrase checkpoint,Ôn tập câu sinh tồn,Pre-A1.1,210–240 sec,176,18,DGE_MODULE_M06_PORTRAIT_9X16.jpg,FINAL,PASS
61,DGE0061,M07,I and you,Đại từ I và you,Pre-A1.1,210–240 sec,190,22,DGE_MODULE_M07_PORTRAIT_9X16.jpg,FINAL,PASS
62,DGE0062,M07,He and she,Đại từ he và she,Pre-A1.1,210–240 sec,170,20,DGE_MODULE_M07_PORTRAIT_9X16.jpg,FINAL,PASS
63,DGE0063,M07,It for a thing or animal,It cho đồ vật hoặc con vật,Pre-A1.1,210–240 sec,189,26,DGE_MODULE_M07_PORTRAIT_9X16.jpg,FINAL,PASS
64,DGE0064,M07,We together,We nghĩa là chúng ta,Pre-A1.1,210–240 sec,173,26,DGE_MODULE_M07_PORTRAIT_9X16.jpg,FINAL,PASS
65,DGE0065,M07,They for people or things,They cho người hoặc vật,Pre-A1.1,210–240 sec,173,24,DGE_MODULE_M07_PORTRAIT_9X16.jpg,FINAL,PASS
66,DGE0066,M07,Choose I or me,Chọn I hay me,Pre-A1.1,210–240 sec,190,20,DGE_MODULE_M07_PORTRAIT_9X16.jpg,FINAL,PASS
67,DGE0067,M07,Choose he or she,Chọn he hay she,Pre-A1.1,210–240 sec,212,16,DGE_MODULE_M07_PORTRAIT_9X16.jpg,FINAL,PASS
68,DGE0068,M07,Choose we or they,Chọn we hay they,Pre-A1.1,210–240 sec,194,22,DGE_MODULE_M07_PORTRAIT_9X16.jpg,FINAL,PASS
69,DGE0069,M07,Pronouns in a mini-dialogue,Đại từ trong hội thoại ngắn,Pre-A1.1,210–240 sec,170,18,DGE_MODULE_M07_PORTRAIT_9X16.jpg,FINAL,PASS
70,DGE0070,M07,Pronoun checkpoint,Ôn tập đại từ,Pre-A1.1,210–240 sec,192,16,DGE_MODULE_M07_PORTRAIT_9X16.jpg,FINAL,PASS
71,DGE0071,M08,I am,Cấu trúc I am,Pre-A1.1,210–240 sec,195,26,DGE_MODULE_M08_PORTRAIT_9X16.jpg,FINAL,PASS
72,DGE0072,M08,You are,Cấu trúc You are,Pre-A1.1,210–240 sec,195,26,DGE_MODULE_M08_PORTRAIT_9X16.jpg,FINAL,PASS
73,DGE0073,M08,He is,Cấu trúc He is,Pre-A1.1,210–240 sec,195,26,DGE_MODULE_M08_PORTRAIT_9X16.jpg,FINAL,PASS
74,DGE0074,M08,She is,Cấu trúc She is,Pre-A1.1,210–240 sec,195,26,DGE_MODULE_M08_PORTRAIT_9X16.jpg,FINAL,PASS
75,DGE0075,M08,It is,Cấu trúc It is,Pre-A1.1,210–240 sec,195,26,DGE_MODULE_M08_PORTRAIT_9X16.jpg,FINAL,PASS
76,DGE0076,M08,We are,Cấu trúc We are,Pre-A1.1,210–240 sec,195,26,DGE_MODULE_M08_PORTRAIT_9X16.jpg,FINAL,PASS
77,DGE0077,M08,They are,Cấu trúc They are,Pre-A1.1,210–240 sec,195,26,DGE_MODULE_M08_PORTRAIT_9X16.jpg,FINAL,PASS
78,DGE0078,M08,Negative forms of be,Dạng phủ định của be,Pre-A1.1,210–240 sec,206,20,DGE_MODULE_M08_PORTRAIT_9X16.jpg,FINAL,PASS
79,DGE0079,M08,Questions with be,Câu hỏi với be,Pre-A1.1,210–240 sec,202,20,DGE_MODULE_M08_PORTRAIT_9X16.jpg,FINAL,PASS
80,DGE0080,M08,Verb be checkpoint,Ôn tập động từ be,Pre-A1.1,210–240 sec,186,20,DGE_MODULE_M08_PORTRAIT_9X16.jpg,FINAL,PASS
81,DGE0081,M09,I’m Ben,Tôi là Ben,Pre-A1.1,210–240 sec,181,24,DGE_MODULE_M09_PORTRAIT_9X16.jpg,FINAL,PASS
82,DGE0082,M09,What’s your name?,Bạn tên là gì?,Pre-A1.1,210–240 sec,190,22,DGE_MODULE_M09_PORTRAIT_9X16.jpg,FINAL,PASS
83,DGE0083,M09,My name’s Mia,Tên tôi là Mia,Pre-A1.1,210–240 sec,190,22,DGE_MODULE_M09_PORTRAIT_9X16.jpg,FINAL,PASS
84,DGE0084,M09,Nice to meet you,Rất vui được gặp bạn,Pre-A1.1,210–240 sec,165,14,DGE_MODULE_M09_PORTRAIT_9X16.jpg,FINAL,PASS
85,DGE0085,M09,Where are you from?,Bạn đến từ đâu?,Pre-A1.1,210–240 sec,190,20,DGE_MODULE_M09_PORTRAIT_9X16.jpg,FINAL,PASS
86,DGE0086,M09,I’m from Vietnam,Tôi đến từ Việt Nam,Pre-A1.1,210–240 sec,170,20,DGE_MODULE_M09_PORTRAIT_9X16.jpg,FINAL,PASS
87,DGE0087,M09,I live in London,Tôi sống ở Luân Đôn,Pre-A1.1,210–240 sec,190,20,DGE_MODULE_M09_PORTRAIT_9X16.jpg,FINAL,PASS
88,DGE0088,M09,Introduce a friend,Giới thiệu một người bạn,Pre-A1.1,210–240 sec,202,20,DGE_MODULE_M09_PORTRAIT_9X16.jpg,FINAL,PASS
89,DGE0089,M09,A complete first introduction,Bài giới thiệu đầu tiên hoàn chỉnh,Pre-A1.1,210–240 sec,170,18,DGE_MODULE_M09_PORTRAIT_9X16.jpg,FINAL,PASS
90,DGE0090,M09,Introduction checkpoint,Ôn tập giới thiệu,Pre-A1.1,210–240 sec,214,20,DGE_MODULE_M09_PORTRAIT_9X16.jpg,FINAL,PASS
91,DGE0091,M10,Listen for letter names,Nghe tên chữ cái,Pre-A1.1,210–240 sec,189,24,DGE_MODULE_M10_PORTRAIT_9X16.jpg,FINAL,PASS
92,DGE0092,M10,Listen and spell a name,Nghe và đánh vần tên,Pre-A1.1,210–240 sec,192,16,DGE_MODULE_M10_PORTRAIT_9X16.jpg,FINAL,PASS
93,DGE0093,M10,Hear two different sounds,Nghe hai âm khác nhau,Pre-A1.1,210–240 sec,194,22,DGE_MODULE_M10_PORTRAIT_9X16.jpg,FINAL,PASS
94,DGE0094,M10,Choose the right greeting,Chọn lời chào phù hợp,Pre-A1.1,210–240 sec,198,18,DGE_MODULE_M10_PORTRAIT_9X16.jpg,FINAL,PASS
95,DGE0095,M10,Answer yes or no,Trả lời yes hoặc no,Pre-A1.1,210–240 sec,170,18,DGE_MODULE_M10_PORTRAIT_9X16.jpg,FINAL,PASS
96,DGE0096,M10,Ask for repetition,Yêu cầu nhắc lại,Pre-A1.1,210–240 sec,209,16,DGE_MODULE_M10_PORTRAIT_9X16.jpg,FINAL,PASS
97,DGE0097,M10,Choose the right pronoun,Chọn đúng đại từ,Pre-A1.1,210–240 sec,190,20,DGE_MODULE_M10_PORTRAIT_9X16.jpg,FINAL,PASS
98,DGE0098,M10,"Complete am, is or are","Điền am, is hoặc are",Pre-A1.1,210–240 sec,194,20,DGE_MODULE_M10_PORTRAIT_9X16.jpg,FINAL,PASS
99,DGE0099,M10,Role-play: meet someone new,Đóng vai: gặp người mới,Pre-A1.1,210–240 sec,156,18,DGE_MODULE_M10_PORTRAIT_9X16.jpg,FINAL,PASS
100,DGE0100,M10,Stage 1 speaking check,Kiểm tra nói Chặng 1,Pre-A1.1,210–240 sec,190,20,DGE_MODULE_M10_PORTRAIT_9X16.jpg,FINAL,PASS
101,DGE0101,M11,Numbers 0–20: zero to five,Số từ 0–20: số từ không đến năm,Pre-A1.2,210–240 sec,178,20,DGE_MODULE_M11_PORTRAIT_9X16.jpg,FINAL,PASS
102,DGE0102,M11,Numbers 0–20: six to ten,Số từ 0–20: số từ sáu đến mười,Pre-A1.2,210–240 sec,182,20,DGE_MODULE_M11_PORTRAIT_9X16.jpg,FINAL,PASS
103,DGE0103,M11,Numbers 0–20: eleven to fifteen,Số từ 0–20: số từ mười một đến mười lăm,Pre-A1.2,210–240 sec,164,18,DGE_MODULE_M11_PORTRAIT_9X16.jpg,FINAL,PASS
104,DGE0104,M11,Numbers 0–20: sixteen to twenty,Số từ 0–20: số từ mười sáu đến hai mươi,Pre-A1.2,210–240 sec,164,18,DGE_MODULE_M11_PORTRAIT_9X16.jpg,FINAL,PASS
105,DGE0105,M11,Numbers 0–20: How many are there?,Số từ 0–20: Có bao nhiêu?,Pre-A1.2,210–240 sec,202,20,DGE_MODULE_M11_PORTRAIT_9X16.jpg,FINAL,PASS
106,DGE0106,M11,Numbers 0–20: There are twelve.,Số từ 0–20: Có mười hai.,Pre-A1.2,210–240 sec,202,22,DGE_MODULE_M11_PORTRAIT_9X16.jpg,FINAL,PASS
107,DGE0107,M11,Numbers 0–20: similar number sounds,Số từ 0–20: các số có âm gần giống,Pre-A1.2,210–240 sec,164,18,DGE_MODULE_M11_PORTRAIT_9X16.jpg,FINAL,PASS
108,DGE0108,M11,Numbers 0–20: listen and choose a number,Số từ 0–20: nghe và chọn một số,Pre-A1.2,210–240 sec,200,18,DGE_MODULE_M11_PORTRAIT_9X16.jpg,FINAL,PASS
109,DGE0109,M11,Numbers 0–20: counting objects together,Số từ 0–20: cùng nhau đếm đồ vật,Pre-A1.2,210–240 sec,182,20,DGE_MODULE_M11_PORTRAIT_9X16.jpg,FINAL,PASS
110,DGE0110,M11,Numbers 0–20: numbers from zero to twenty,Số từ 0–20: các số từ không đến hai mươi,Pre-A1.2,210–240 sec,180,16,DGE_MODULE_M11_PORTRAIT_9X16.jpg,FINAL,PASS
111,DGE0111,M12,Numbers 21–100 and larger numbers: twenty-one to thirty,Số 21–100 và số lớn hơn: số từ hai mươi mốt đến ba mươi,Pre-A1.2,210–240 sec,160,16,DGE_MODULE_M12_PORTRAIT_9X16.jpg,FINAL,PASS
112,DGE0112,M12,Numbers 21–100 and larger numbers: thirty-one to fifty,Số 21–100 và số lớn hơn: số từ ba mươi mốt đến năm mươi,Pre-A1.2,210–240 sec,160,16,DGE_MODULE_M12_PORTRAIT_9X16.jpg,FINAL,PASS
113,DGE0113,M12,Numbers 21–100 and larger numbers: fifty-one to one hundred,Số 21–100 và số lớn hơn: số từ năm mươi mốt đến một trăm,Pre-A1.2,210–240 sec,176,16,DGE_MODULE_M12_PORTRAIT_9X16.jpg,FINAL,PASS
114,DGE0114,M12,Numbers 21–100 and larger numbers: one hundred and one thousand,Số 21–100 và số lớn hơn: một trăm và một nghìn,Pre-A1.2,210–240 sec,192,16,DGE_MODULE_M12_PORTRAIT_9X16.jpg,FINAL,PASS
115,DGE0115,M12,Numbers 21–100 and larger numbers: forty or fourteen,Số 21–100 và số lớn hơn: bốn mươi hay mười bốn,Pre-A1.2,210–240 sec,176,18,DGE_MODULE_M12_PORTRAIT_9X16.jpg,FINAL,PASS
116,DGE0116,M12,Numbers 21–100 and larger numbers: ninety or nineteen,Số 21–100 và số lớn hơn: chín mươi hay mười chín,Pre-A1.2,210–240 sec,176,18,DGE_MODULE_M12_PORTRAIT_9X16.jpg,FINAL,PASS
117,DGE0117,M12,Numbers 21–100 and larger numbers: teen and ty endings,Số 21–100 và số lớn hơn: đuôi teen và ty,Pre-A1.2,210–240 sec,194,18,DGE_MODULE_M12_PORTRAIT_9X16.jpg,FINAL,PASS
118,DGE0118,M12,Numbers 21–100 and larger numbers: listen and repeat larger numbers,Số 21–100 và số lớn hơn: nghe và lặp lại số lớn,Pre-A1.2,210–240 sec,192,16,DGE_MODULE_M12_PORTRAIT_9X16.jpg,FINAL,PASS
119,DGE0119,M12,Numbers 21–100 and larger numbers: say a quantity clearly,Số 21–100 và số lớn hơn: nói rõ một số lượng,Pre-A1.2,210–240 sec,194,18,DGE_MODULE_M12_PORTRAIT_9X16.jpg,FINAL,PASS
120,DGE0120,M12,Numbers 21–100 and larger numbers: numbers above twenty,Số 21–100 và số lớn hơn: các số lớn hơn hai mươi,Pre-A1.2,210–240 sec,176,18,DGE_MODULE_M12_PORTRAIT_9X16.jpg,FINAL,PASS
121,DGE0121,M13,Age and birthdays: How old are you?,Tuổi và sinh nhật: Bạn bao nhiêu tuổi?,Pre-A1.2,210–240 sec,202,20,DGE_MODULE_M13_PORTRAIT_9X16.jpg,FINAL,PASS
122,DGE0122,M13,Age and birthdays: I am twenty years old.,Tuổi và sinh nhật: Tôi hai mươi tuổi.,Pre-A1.2,210–240 sec,200,18,DGE_MODULE_M13_PORTRAIT_9X16.jpg,FINAL,PASS
123,DGE0123,M13,Age and birthdays: When is your birthday?,Tuổi và sinh nhật: Sinh nhật bạn khi nào?,Pre-A1.2,210–240 sec,182,18,DGE_MODULE_M13_PORTRAIT_9X16.jpg,FINAL,PASS
124,DGE0124,M13,Age and birthdays: My birthday is in May.,Tuổi và sinh nhật: Sinh nhật tôi vào tháng Năm.,Pre-A1.2,210–240 sec,200,18,DGE_MODULE_M13_PORTRAIT_9X16.jpg,FINAL,PASS
125,DGE0125,M13,Age and birthdays: birthday dates,Tuổi và sinh nhật: ngày sinh nhật,Pre-A1.2,210–240 sec,180,22,DGE_MODULE_M13_PORTRAIT_9X16.jpg,FINAL,PASS
126,DGE0126,M13,Age and birthdays: birthday wishes,Tuổi và sinh nhật: lời chúc sinh nhật,Pre-A1.2,210–240 sec,180,22,DGE_MODULE_M13_PORTRAIT_9X16.jpg,FINAL,PASS
127,DGE0127,M13,Age and birthdays: hear two different ages,Tuổi và sinh nhật: nghe hai độ tuổi khác nhau,Pre-A1.2,210–240 sec,182,18,DGE_MODULE_M13_PORTRAIT_9X16.jpg,FINAL,PASS
128,DGE0128,M13,Age and birthdays: answer an age question,Tuổi và sinh nhật: trả lời câu hỏi về tuổi,Pre-A1.2,210–240 sec,182,18,DGE_MODULE_M13_PORTRAIT_9X16.jpg,FINAL,PASS
129,DGE0129,M13,Age and birthdays: talk about a birthday,Tuổi và sinh nhật: nói về một sinh nhật,Pre-A1.2,210–240 sec,182,18,DGE_MODULE_M13_PORTRAIT_9X16.jpg,FINAL,PASS
130,DGE0130,M13,Age and birthdays: age and birthday review,Tuổi và sinh nhật: ôn tập tuổi và sinh nhật,Pre-A1.2,210–240 sec,182,18,DGE_MODULE_M13_PORTRAIT_9X16.jpg,FINAL,PASS
131,DGE0131,M14,Phone numbers and codes: What is your phone number?,Số điện thoại và mã số: Số điện thoại của bạn là gì?,Pre-A1.2,210–240 sec,184,16,DGE_MODULE_M14_PORTRAIT_9X16.jpg,FINAL,PASS
132,DGE0132,M14,Phone numbers and codes: My number is 07911 123456.,Số điện thoại và mã số: Số của tôi là 07911 123456.,Pre-A1.2,210–240 sec,184,16,DGE_MODULE_M14_PORTRAIT_9X16.jpg,FINAL,PASS
133,DGE0133,M14,Phone numbers and codes: say digits one by one,Số điện thoại và mã số: đọc từng chữ số,Pre-A1.2,210–240 sec,204,18,DGE_MODULE_M14_PORTRAIT_9X16.jpg,FINAL,PASS
134,DGE0134,M14,Phone numbers and codes: repeat a phone number,Số điện thoại và mã số: lặp lại một số điện thoại,Pre-A1.2,210–240 sec,186,18,DGE_MODULE_M14_PORTRAIT_9X16.jpg,FINAL,PASS
135,DGE0135,M14,Phone numbers and codes: check the last four digits,Số điện thoại và mã số: kiểm tra bốn số cuối,Pre-A1.2,210–240 sec,204,18,DGE_MODULE_M14_PORTRAIT_9X16.jpg,FINAL,PASS
136,DGE0136,M14,Phone numbers and codes: a simple access code,Số điện thoại và mã số: một mã truy cập đơn giản,Pre-A1.2,210–240 sec,186,18,DGE_MODULE_M14_PORTRAIT_9X16.jpg,FINAL,PASS
137,DGE0137,M14,Phone numbers and codes: hear similar phone numbers,Số điện thoại và mã số: nghe các số điện thoại gần giống,Pre-A1.2,210–240 sec,168,16,DGE_MODULE_M14_PORTRAIT_9X16.jpg,FINAL,PASS
138,DGE0138,M14,Phone numbers and codes: write the number you hear,Số điện thoại và mã số: viết số bạn nghe được,Pre-A1.2,210–240 sec,204,18,DGE_MODULE_M14_PORTRAIT_9X16.jpg,FINAL,PASS
139,DGE0139,M14,Phone numbers and codes: exchange contact numbers,Số điện thoại và mã số: trao đổi số liên lạc,Pre-A1.2,210–240 sec,186,20,DGE_MODULE_M14_PORTRAIT_9X16.jpg,FINAL,PASS
140,DGE0140,M14,Phone numbers and codes: phone number and code review,Số điện thoại và mã số: ôn tập số điện thoại và mã,Pre-A1.2,210–240 sec,184,16,DGE_MODULE_M14_PORTRAIT_9X16.jpg,FINAL,PASS
141,DGE0141,M15,Home addresses: What is your address?,Địa chỉ nhà: Địa chỉ của bạn là gì?,Pre-A1.2,210–240 sec,178,18,DGE_MODULE_M15_PORTRAIT_9X16.jpg,FINAL,PASS
142,DGE0142,M15,Home addresses: I live at 25 King Street.,Địa chỉ nhà: Tôi sống tại số 25 phố King.,Pre-A1.2,210–240 sec,192,16,DGE_MODULE_M15_PORTRAIT_9X16.jpg,FINAL,PASS
143,DGE0143,M15,Home addresses: house and flat numbers,Địa chỉ nhà: số nhà và số căn hộ,Pre-A1.2,210–240 sec,178,18,DGE_MODULE_M15_PORTRAIT_9X16.jpg,FINAL,PASS
144,DGE0144,M15,Home addresses: street and road names,Địa chỉ nhà: tên phố và tên đường,Pre-A1.2,210–240 sec,198,20,DGE_MODULE_M15_PORTRAIT_9X16.jpg,FINAL,PASS
